manufacturing_batch_id,heat_treatment_temp,tempering_temp,grinding_quality,roundness_error,roughness,equipment_id,manufacturing_risk_score,manufacturing_risk_level
BMAN-00611,888.2,150.8,0.6298,0.386,0.34,EQ-GR-085,0.4639,medium
BMAN-00612,851.3,160.5,0.8322,1.219,0.336,EQ-GR-096,0.1694,low
BMAN-00613,833.7,168.3,0.6988,3.068,0.812,EQ-GR-119,0.378,medium
BMAN-00614,811.8,152.9,0.9803,0.2,0.135,EQ-GR-003,0.1342,low
BMAN-00615,830.2,159.9,0.7945,3.938,0.476,EQ-GR-041,0.3144,medium
BMAN-00616,830.3,180.0,0.5697,1.099,0.112,EQ-GR-114,0.1605,low
BMAN-00617,799.5,178.8,0.8458,0.669,0.469,EQ-GR-007,0.2584,medium
BMAN-00618,825.0,145.6,0.8864,3.388,0.229,EQ-GR-018,0.3385,medium
BMAN-00619,843.5,169.1,0.526,0.437,0.331,EQ-GR-110,0.2479,low
BMAN-00620,805.7,161.6,0.9053,1.756,0.17,EQ-GR-093,0.3185,medium
BMAN-00621,834.2,161.3,0.4093,0.797,0.487,EQ-GR-117,0.2861,medium
BMAN-00622,861.0,173.8,0.6992,1.289,0.205,EQ-GR-043,0.2863,medium
BMAN-00623,851.8,146.8,0.4418,3.832,0.489,EQ-GR-030,0.5219,high
BMAN-00624,829.4,173.7,0.9177,1.873,0.501,EQ-GR-029,0.2087,low
BMAN-00625,870.7,170.9,0.8236,4.286,0.244,EQ-GR-068,0.3095,medium
BMAN-00626,851.1,189.3,0.8408,3.611,0.692,EQ-GR-016,0.4005,medium
BMAN-00627,836.7,170.8,0.9354,1.774,0.289,EQ-GR-026,0.1687,low
BMAN-00628,810.2,174.2,0.7819,2.552,0.144,EQ-GR-018,0.2503,medium
BMAN-00629,897.5,190.1,0.6676,2.537,0.21,EQ-GR-040,0.461,medium
BMAN-00630,843.2,170.2,0.7754,3.066,0.444,EQ-GR-037,0.3087,medium
BMAN-00631,875.3,196.8,0.85,1.949,0.345,EQ-GR-049,0.3655,medium
BMAN-00632,855.4,207.4,0.9183,6.095,0.073,EQ-GR-033,0.3924,medium
BMAN-00633,870.3,173.4,0.8301,4.772,0.597,EQ-GR-053,0.4864,medium
BMAN-00634,854.1,192.1,0.8811,0.945,1.01,EQ-GR-117,0.3511,medium
BMAN-00635,847.5,168.3,0.8547,4.884,0.166,EQ-GR-092,0.2612,medium
BMAN-00636,825.9,171.9,0.676,3.076,0.121,EQ-GR-099,0.1662,low
BMAN-00637,823.3,191.6,0.8801,1.143,0.337,EQ-GR-067,0.2141,low
BMAN-00638,838.9,190.1,0.8912,1.363,0.278,EQ-GR-103,0.2437,low
BMAN-00639,828.6,182.0,0.668,1.647,0.265,EQ-GR-090,0.2023,low
BMAN-00640,841.0,178.3,0.8635,0.2,0.068,EQ-GR-097,0.0972,low
BMAN-00641,837.6,171.0,0.6596,1.549,0.386,EQ-GR-107,0.2191,low
BMAN-00642,832.0,185.6,0.8928,1.36,0.058,EQ-GR-073,0.1219,low
BMAN-00643,865.0,177.8,0.3,1.825,0.14,EQ-GR-021,0.384,medium
BMAN-00644,821.0,152.2,0.4423,0.469,0.169,EQ-GR-032,0.2483,low
BMAN-00645,818.3,158.0,0.9153,0.865,0.47,EQ-GR-114,0.2249,low
BMAN-00646,796.4,161.5,0.9009,1.764,0.349,EQ-GR-097,0.3335,medium
BMAN-00647,823.1,129.7,0.6178,3.293,1.25,EQ-GR-028,0.5545,high
BMAN-00648,855.2,171.6,0.8729,1.328,0.264,EQ-GR-114,0.1953,low
BMAN-00649,865.4,178.8,0.3545,0.988,0.191,EQ-GR-071,0.4071,medium
BMAN-00650,805.3,152.6,0.7484,0.606,0.102,EQ-GR-035,0.3243,medium
BMAN-00651,829.6,205.4,0.5033,4.835,0.104,EQ-GR-030,0.3388,medium
BMAN-00652,835.1,156.7,0.8947,0.602,0.161,EQ-GR-069,0.1774,low
BMAN-00653,870.0,156.0,0.9605,4.166,0.277,EQ-GR-095,0.4117,medium
BMAN-00654,802.3,180.6,0.9346,1.887,0.343,EQ-GR-040,0.3151,medium
BMAN-00655,836.2,163.3,0.9482,2.483,0.282,EQ-GR-016,0.2278,low
BMAN-00656,820.3,170.2,0.9244,0.855,0.162,EQ-GR-061,0.1524,low
BMAN-00657,839.4,161.5,0.8464,1.257,0.608,EQ-GR-047,0.2905,medium
BMAN-00658,840.6,165.0,0.5669,3.351,0.34,EQ-GR-047,0.307,medium
BMAN-00659,831.0,191.4,0.5531,2.653,0.135,EQ-GR-041,0.2682,medium
BMAN-00660,831.8,188.7,0.8441,2.465,0.175,EQ-GR-089,0.1808,low
BMAN-00661,843.8,163.5,0.8309,4.255,0.402,EQ-GR-033,0.264,medium
BMAN-00662,857.2,186.0,0.7476,0.646,0.172,EQ-GR-016,0.1867,low
BMAN-00663,826.2,134.8,0.5122,5.406,0.281,EQ-GR-032,0.5243,high
BMAN-00664,853.4,189.9,0.6309,5.775,0.224,EQ-GR-102,0.3698,medium
BMAN-00665,816.8,167.3,0.5343,3.029,1.075,EQ-GR-041,0.3991,medium
BMAN-00666,836.0,150.5,0.4762,1.337,0.144,EQ-GR-055,0.2488,low
BMAN-00667,836.5,164.4,0.9473,2.609,0.152,EQ-GR-044,0.1689,low
BMAN-00668,849.0,172.3,0.8659,0.602,0.638,EQ-GR-111,0.1754,low
BMAN-00669,819.1,181.8,0.8303,3.879,0.408,EQ-GR-067,0.298,medium
BMAN-00670,826.1,182.3,0.4327,3.787,0.185,EQ-GR-046,0.3191,medium
BMAN-00671,826.3,163.9,0.8159,1.493,0.35,EQ-GR-101,0.2173,low
BMAN-00672,792.7,164.7,0.8893,1.272,0.246,EQ-GR-021,0.2627,medium
BMAN-00673,869.3,174.0,0.6841,2.32,0.16,EQ-GR-118,0.3229,medium
BMAN-00674,862.1,152.9,0.6602,1.929,0.269,EQ-GR-055,0.3188,medium
BMAN-00675,854.3,168.7,0.9195,4.453,0.23,EQ-GR-047,0.2441,low
BMAN-00676,844.0,156.0,0.7121,0.762,0.17,EQ-GR-061,0.2362,low
BMAN-00677,800.1,164.5,0.8727,0.873,0.421,EQ-GR-045,0.3139,medium
BMAN-00678,850.0,176.9,0.6613,7.516,0.173,EQ-GR-001,0.3448,medium
BMAN-00679,817.9,153.0,0.8371,1.252,0.398,EQ-GR-115,0.2374,low
BMAN-00680,853.7,166.4,0.7987,3.438,0.507,EQ-GR-012,0.3821,medium
BMAN-00681,788.6,177.0,0.523,3.441,0.344,EQ-GR-114,0.4747,medium
BMAN-00682,805.5,140.9,0.5339,4.272,0.322,EQ-GR-066,0.4849,medium
BMAN-00683,827.1,186.5,0.4016,0.808,0.602,EQ-GR-006,0.3521,medium
BMAN-00684,857.2,194.5,0.7569,1.198,0.528,EQ-GR-052,0.2998,medium
BMAN-00685,853.8,148.0,0.6935,3.67,0.136,EQ-GR-075,0.3497,medium
BMAN-00686,839.9,190.3,0.9168,5.156,0.118,EQ-GR-083,0.265,medium
BMAN-00687,877.8,168.0,0.3982,4.334,0.161,EQ-GR-103,0.4924,medium
BMAN-00688,818.6,189.0,0.888,3.846,0.108,EQ-GR-077,0.237,low
BMAN-00689,867.8,166.2,0.7039,0.796,0.145,EQ-GR-022,0.3533,medium
BMAN-00690,826.1,167.5,0.815,5.548,0.309,EQ-GR-012,0.2786,medium
BMAN-00691,887.8,163.4,0.4199,7.987,0.316,EQ-GR-021,0.6066,high
BMAN-00692,866.2,177.5,0.5444,4.574,0.127,EQ-GR-097,0.3957,medium
BMAN-00693,812.6,190.4,0.6787,4.274,0.082,EQ-GR-053,0.3452,medium
BMAN-00694,864.9,195.1,0.6506,2.433,0.275,EQ-GR-035,0.4091,medium
BMAN-00695,851.4,183.6,0.9245,3.609,0.213,EQ-GR-032,0.324,medium
BMAN-00696,841.4,165.0,0.3983,1.418,0.452,EQ-GR-109,0.3114,medium
BMAN-00697,860.7,192.3,0.4676,3.176,0.38,EQ-GR-016,0.448,medium
BMAN-00698,800.6,173.3,0.7153,1.919,0.176,EQ-GR-082,0.3336,medium
BMAN-00699,798.3,184.0,0.5384,1.74,0.05,EQ-GR-081,0.3807,medium
BMAN-00700,840.7,163.2,0.8899,1.444,0.307,EQ-GR-088,0.1844,low
BMAN-00701,830.2,172.0,0.8421,0.971,0.755,EQ-GR-103,0.2143,low
BMAN-00702,847.8,178.9,0.6817,2.025,1.016,EQ-GR-112,0.4173,medium
BMAN-00703,846.5,187.7,0.8939,6.831,0.263,EQ-GR-094,0.3104,medium
BMAN-00704,833.5,197.6,0.5943,0.44,0.521,EQ-GR-108,0.3057,medium
BMAN-00705,871.2,160.0,0.8514,1.527,0.05,EQ-GR-004,0.3081,medium
BMAN-00706,838.5,149.9,0.8857,4.434,0.05,EQ-GR-023,0.1814,low
BMAN-00707,848.9,185.7,0.8428,0.891,0.251,EQ-GR-015,0.1926,low
BMAN-00708,830.5,179.9,0.7453,3.014,0.086,EQ-GR-017,0.169,low
BMAN-00709,836.3,171.8,0.8148,2.82,0.215,EQ-GR-046,0.1796,low
BMAN-00710,818.9,165.1,0.6106,1.977,0.392,EQ-GR-067,0.2954,medium
BMAN-00711,835.6,165.4,0.4377,1.444,0.655,EQ-GR-075,0.2766,medium
BMAN-00712,838.8,200.4,0.7787,2.157,0.336,EQ-GR-047,0.3121,medium
BMAN-00713,856.0,168.4,0.3903,0.787,0.079,EQ-GR-009,0.312,medium
BMAN-00714,840.0,189.8,0.6771,1.507,0.926,EQ-GR-029,0.3716,medium
BMAN-00715,804.3,179.0,0.9149,0.545,0.059,EQ-GR-118,0.2291,low
BMAN-00716,852.1,189.5,0.6285,1.786,0.076,EQ-GR-027,0.2504,medium
BMAN-00717,826.0,159.2,0.5672,1.69,0.411,EQ-GR-035,0.2834,medium
BMAN-00718,814.6,161.6,0.7976,1.364,0.05,EQ-GR-036,0.175,low
BMAN-00719,800.2,198.3,0.4839,2.14,0.55,EQ-GR-018,0.4806,medium
BMAN-00720,811.8,158.4,0.4397,1.669,0.238,EQ-GR-005,0.3738,medium
BMAN-00721,865.6,177.6,0.743,1.369,0.726,EQ-GR-093,0.3971,medium
BMAN-00722,795.1,175.6,0.5354,1.319,0.294,EQ-GR-060,0.3544,medium
BMAN-00723,845.6,158.5,0.6501,4.817,0.737,EQ-GR-088,0.3795,medium
BMAN-00724,853.8,182.7,0.7145,1.885,0.2,EQ-GR-013,0.3338,medium
BMAN-00725,822.7,170.8,0.8793,1.214,0.15,EQ-GR-050,0.1909,low
BMAN-00726,807.6,147.9,0.9362,1.722,0.158,EQ-GR-101,0.3069,medium
BMAN-00727,861.6,154.8,0.797,1.444,0.177,EQ-GR-035,0.3333,medium
BMAN-00728,862.2,170.6,0.5801,1.491,0.17,EQ-GR-041,0.2877,medium
BMAN-00729,864.8,179.6,0.5051,1.385,0.574,EQ-GR-038,0.3723,medium
BMAN-00730,883.6,178.5,0.8034,4.293,0.256,EQ-GR-068,0.4345,medium
BMAN-00731,805.8,158.7,0.4155,1.981,0.507,EQ-GR-040,0.5083,high
BMAN-00732,791.0,180.2,0.7516,4.417,0.053,EQ-GR-064,0.3433,medium
BMAN-00733,848.8,192.6,0.3963,1.765,0.05,EQ-GR-104,0.2639,medium
BMAN-00734,827.2,180.7,0.7154,3.056,0.467,EQ-GR-036,0.2975,medium
BMAN-00735,828.2,195.7,0.5269,1.393,0.343,EQ-GR-090,0.3056,medium
BMAN-00736,821.8,200.0,0.7625,0.533,0.07,EQ-GR-091,0.2419,low
BMAN-00737,786.4,162.6,0.8593,8.299,0.05,EQ-GR-021,0.5007,high
BMAN-00738,829.5,185.2,0.7774,1.352,0.49,EQ-GR-059,0.3169,medium
BMAN-00739,847.2,186.7,0.5434,0.606,0.075,EQ-GR-088,0.1941,low
BMAN-00740,814.7,174.2,0.7288,0.909,0.133,EQ-GR-075,0.1733,low
BMAN-00741,827.1,167.7,0.9159,4.736,0.273,EQ-GR-012,0.1918,low
BMAN-00742,810.8,201.0,0.8314,4.583,0.095,EQ-GR-112,0.3382,medium
BMAN-00743,886.7,174.6,0.4162,2.783,0.576,EQ-GR-119,0.5585,high
BMAN-00744,833.5,164.7,0.9223,4.336,0.283,EQ-GR-086,0.2238,low
BMAN-00745,837.4,182.7,0.6663,2.163,0.497,EQ-GR-056,0.2652,medium
BMAN-00746,843.0,159.6,0.8287,5.995,0.287,EQ-GR-011,0.3461,medium
BMAN-00747,828.4,167.3,0.8208,0.617,0.748,EQ-GR-012,0.2954,medium
BMAN-00748,826.5,192.0,0.7367,2.112,0.205,EQ-GR-119,0.2479,low
BMAN-00749,837.7,177.3,0.8093,1.189,0.65,EQ-GR-030,0.2386,low
BMAN-00750,825.8,157.6,0.7063,6.192,0.212,EQ-GR-107,0.3813,medium
BMAN-00751,806.6,180.9,0.6095,7.114,0.384,EQ-GR-054,0.4915,medium
BMAN-00752,815.1,213.8,0.7138,1.734,0.455,EQ-GR-017,0.3894,medium
BMAN-00753,864.1,150.7,0.4937,1.474,0.175,EQ-GR-070,0.407,medium
BMAN-00754,825.2,184.4,0.5077,1.51,0.065,EQ-GR-002,0.2483,low
BMAN-00755,872.0,173.0,0.667,1.108,0.861,EQ-GR-024,0.4542,medium
BMAN-00756,834.7,165.4,0.7875,3.128,0.101,EQ-GR-018,0.1712,low
BMAN-00757,809.9,212.0,0.7918,3.802,0.382,EQ-GR-012,0.4456,medium
BMAN-00758,808.3,159.2,0.676,2.205,0.082,EQ-GR-101,0.2602,medium
BMAN-00759,850.0,202.1,0.7608,2.283,0.635,EQ-GR-088,0.4094,medium
BMAN-00760,838.2,174.2,0.6951,2.964,0.097,EQ-GR-075,0.1675,low
BMAN-00761,844.6,180.4,0.4414,9.0,0.071,EQ-GR-072,0.4165,medium
BMAN-00762,854.9,184.6,0.6565,1.53,0.083,EQ-GR-056,0.2332,low
BMAN-00763,846.5,177.6,0.7372,0.824,0.152,EQ-GR-021,0.1812,low
BMAN-00764,826.5,167.3,0.8873,2.268,0.164,EQ-GR-031,0.1486,low
BMAN-00765,863.2,178.7,0.8682,2.581,0.15,EQ-GR-056,0.2426,low
BMAN-00766,830.6,210.9,0.7233,1.3,0.147,EQ-GR-073,0.207,low
BMAN-00767,818.1,169.2,0.6041,3.126,0.318,EQ-GR-120,0.3029,medium
BMAN-00768,856.5,168.5,0.9418,0.776,0.131,EQ-GR-059,0.1541,low
BMAN-00769,865.4,181.2,0.7832,2.288,0.218,EQ-GR-015,0.2461,low
BMAN-00770,850.0,150.9,0.7899,1.274,0.05,EQ-GR-043,0.2366,low
BMAN-00771,835.6,162.9,0.6928,4.277,0.177,EQ-GR-097,0.2571,medium
BMAN-00772,802.5,178.8,0.8265,1.556,0.222,EQ-GR-002,0.3363,medium
BMAN-00773,835.1,198.4,0.7187,0.374,0.546,EQ-GR-113,0.2251,low
BMAN-00774,829.8,189.6,0.8812,0.431,0.16,EQ-GR-108,0.1158,low
BMAN-00775,861.9,186.6,0.8732,1.879,0.407,EQ-GR-082,0.3253,medium
BMAN-00776,872.1,136.0,0.3,2.715,0.234,EQ-GR-100,0.5918,high
BMAN-00777,885.4,143.3,0.6426,4.944,0.309,EQ-GR-076,0.5777,high
BMAN-00778,852.7,166.2,0.8403,2.037,0.725,EQ-GR-030,0.3069,medium
BMAN-00779,824.2,177.4,0.8254,1.413,0.501,EQ-GR-068,0.2361,low
BMAN-00780,852.8,167.7,0.3,1.247,0.419,EQ-GR-039,0.3645,medium
BMAN-00781,850.3,173.8,0.7604,1.894,0.137,EQ-GR-096,0.2451,low
BMAN-00782,809.5,188.5,0.6286,5.076,0.192,EQ-GR-118,0.4237,medium
BMAN-00783,848.5,151.9,0.7563,1.869,0.325,EQ-GR-084,0.3036,medium
BMAN-00784,842.8,180.8,0.7024,9.0,0.284,EQ-GR-014,0.3831,medium
BMAN-00785,839.3,177.7,0.8402,4.118,0.129,EQ-GR-109,0.2405,low
BMAN-00786,868.9,184.6,0.8029,6.911,0.566,EQ-GR-117,0.5111,high
BMAN-00787,832.2,186.8,0.8686,5.276,0.13,EQ-GR-046,0.2101,low
BMAN-00788,830.2,140.6,0.6242,2.275,0.115,EQ-GR-119,0.2944,medium
BMAN-00789,838.2,166.1,0.7632,1.036,0.269,EQ-GR-074,0.1975,low
BMAN-00790,847.2,188.0,0.7586,2.568,0.215,EQ-GR-107,0.2098,low
BMAN-00791,833.0,187.5,0.8591,3.404,0.131,EQ-GR-049,0.2215,low
BMAN-00792,855.5,170.0,0.8358,2.96,0.373,EQ-GR-035,0.2804,medium
BMAN-00793,850.9,190.4,0.6241,3.647,0.132,EQ-GR-073,0.341,medium
BMAN-00794,839.6,197.5,0.6868,2.013,0.49,EQ-GR-113,0.2854,medium
BMAN-00795,839.1,151.1,0.8785,0.614,0.1,EQ-GR-052,0.1643,low
BMAN-00796,855.1,200.5,0.7748,4.13,0.871,EQ-GR-085,0.4688,medium
BMAN-00797,806.6,198.5,0.8267,0.72,0.087,EQ-GR-111,0.3311,medium
BMAN-00798,856.5,198.7,0.6795,3.403,0.134,EQ-GR-009,0.2938,medium
BMAN-00799,835.1,150.9,0.8166,0.953,0.651,EQ-GR-032,0.2633,medium
BMAN-00800,850.5,154.4,0.6808,3.354,0.413,EQ-GR-049,0.4085,medium
BMAN-00801,811.8,187.7,0.5675,0.266,0.139,EQ-GR-090,0.2819,medium
BMAN-00802,862.5,188.2,0.3704,3.28,0.218,EQ-GR-016,0.4943,medium
BMAN-00803,853.2,168.2,0.6349,9.0,0.105,EQ-GR-073,0.3957,medium
BMAN-00804,868.5,180.2,0.3408,0.825,0.201,EQ-GR-021,0.3631,medium
BMAN-00805,810.8,183.7,0.9645,0.2,0.155,EQ-GR-007,0.1508,low
BMAN-00806,840.9,169.4,0.6303,7.836,0.209,EQ-GR-003,0.3331,medium
BMAN-00807,831.3,192.1,0.5602,0.455,0.422,EQ-GR-088,0.256,medium
BMAN-00808,854.1,185.6,0.6948,2.265,0.298,EQ-GR-004,0.2369,low
BMAN-00809,816.5,169.4,0.8182,3.086,0.726,EQ-GR-106,0.3403,medium
BMAN-00810,842.3,197.3,0.8009,0.341,0.341,EQ-GR-083,0.2053,low
BMAN-00811,839.6,163.7,0.8488,4.184,0.361,EQ-GR-040,0.2967,medium
BMAN-00812,827.6,169.6,0.9373,1.411,0.149,EQ-GR-020,0.1302,low
BMAN-00813,805.2,165.1,0.798,5.521,0.8,EQ-GR-068,0.4789,medium
BMAN-00814,842.0,171.8,0.6772,5.077,0.065,EQ-GR-047,0.2034,low
BMAN-00815,830.7,193.5,0.6925,4.105,0.117,EQ-GR-072,0.276,medium
BMAN-00816,884.6,210.2,0.8521,2.63,0.329,EQ-GR-034,0.4215,medium
BMAN-00817,850.6,180.2,0.9181,1.438,0.647,EQ-GR-026,0.2912,medium
BMAN-00818,800.3,188.8,0.444,0.88,0.06,EQ-GR-029,0.39,medium
BMAN-00819,839.9,195.7,0.7573,3.688,0.246,EQ-GR-093,0.304,medium
BMAN-00820,818.8,184.6,0.6169,3.861,0.169,EQ-GR-063,0.2763,medium
BMAN-00821,852.2,180.2,0.6571,4.918,0.113,EQ-GR-090,0.247,low
BMAN-00822,832.5,149.3,0.8923,0.2,0.464,EQ-GR-085,0.2629,medium
BMAN-00823,841.4,188.4,0.542,1.449,0.354,EQ-GR-119,0.2852,medium
BMAN-00824,825.6,171.3,0.6788,6.165,0.475,EQ-GR-004,0.4065,medium
BMAN-00825,814.7,178.6,0.8496,3.345,0.139,EQ-GR-092,0.2531,medium
BMAN-00826,880.1,216.7,0.4447,1.93,0.927,EQ-GR-033,0.659,high
BMAN-00827,821.5,156.7,0.754,2.428,0.894,EQ-GR-010,0.4524,medium
BMAN-00828,816.6,165.6,0.8221,4.105,0.131,EQ-GR-022,0.2449,low
BMAN-00829,817.3,145.6,0.5477,0.512,0.147,EQ-GR-007,0.3199,medium
BMAN-00830,879.9,172.7,0.8976,1.515,0.244,EQ-GR-112,0.2833,medium
BMAN-00831,814.2,186.8,0.8856,1.977,0.682,EQ-GR-074,0.3194,medium
BMAN-00832,848.3,194.2,0.7538,4.887,0.424,EQ-GR-108,0.3853,medium
BMAN-00833,849.3,209.6,0.6887,1.292,0.108,EQ-GR-096,0.2955,medium
BMAN-00834,833.8,191.2,0.7727,1.047,0.625,EQ-GR-030,0.2459,low
BMAN-00835,878.4,176.0,0.4964,0.673,0.206,EQ-GR-026,0.3343,medium
BMAN-00836,851.9,167.6,0.6487,5.759,0.614,EQ-GR-043,0.4796,medium
BMAN-00837,834.7,174.7,0.786,7.387,0.12,EQ-GR-060,0.2905,medium
BMAN-00838,859.4,187.0,0.6262,1.522,0.576,EQ-GR-021,0.4067,medium
BMAN-00839,836.2,163.1,0.4147,0.393,0.417,EQ-GR-013,0.2844,medium
BMAN-00840,822.3,156.1,0.5226,4.271,0.233,EQ-GR-074,0.4267,medium
BMAN-00841,853.1,203.0,0.5486,2.117,0.162,EQ-GR-098,0.3858,medium
BMAN-00842,849.0,175.7,0.8716,5.72,0.594,EQ-GR-060,0.3664,medium
BMAN-00843,837.5,214.5,0.5798,2.027,0.057,EQ-GR-027,0.3494,medium
BMAN-00844,855.0,175.2,0.7847,3.781,0.295,EQ-GR-118,0.3062,medium
BMAN-00845,865.1,158.1,0.6238,1.13,0.438,EQ-GR-011,0.3933,medium
BMAN-00846,848.9,176.7,0.704,2.808,0.284,EQ-GR-051,0.2427,low
BMAN-00847,818.0,173.0,0.8352,3.452,0.192,EQ-GR-081,0.2384,low
BMAN-00848,874.2,176.5,0.6913,2.135,0.085,EQ-GR-111,0.3149,medium
BMAN-00849,794.9,175.6,0.7744,2.89,0.066,EQ-GR-081,0.2579,medium
BMAN-00850,832.1,199.9,0.8484,5.944,0.25,EQ-GR-105,0.354,medium
BMAN-00851,813.4,165.1,0.4102,1.275,0.513,EQ-GR-028,0.3765,medium
BMAN-00852,835.3,171.0,0.3749,1.754,0.211,EQ-GR-036,0.2653,medium
BMAN-00853,783.0,173.6,0.7413,1.752,0.055,EQ-GR-011,0.3701,medium
BMAN-00854,820.7,180.8,0.9569,0.766,0.483,EQ-GR-067,0.2256,low
BMAN-00855,831.4,182.2,0.5058,1.564,0.186,EQ-GR-064,0.1517,low
BMAN-00856,831.8,181.0,0.7492,2.259,0.115,EQ-GR-027,0.1385,low
BMAN-00857,815.3,131.6,0.706,0.903,0.359,EQ-GR-018,0.3293,medium
BMAN-00858,861.0,164.0,0.3296,2.047,0.284,EQ-GR-084,0.4037,medium
BMAN-00859,790.8,201.4,0.6004,2.241,0.445,EQ-GR-048,0.5329,high
BMAN-00860,844.1,184.5,0.467,8.762,0.476,EQ-GR-005,0.4563,medium
BMAN-00861,844.7,199.6,0.8089,6.086,0.645,EQ-GR-048,0.44,medium
BMAN-00862,833.2,156.1,0.9169,1.523,1.184,EQ-GR-076,0.3201,medium
BMAN-00863,851.9,162.1,0.5209,2.934,0.672,EQ-GR-102,0.4264,medium
BMAN-00864,823.2,191.9,0.9298,4.961,0.457,EQ-GR-015,0.3337,medium
BMAN-00865,822.6,170.7,0.8058,7.914,0.174,EQ-GR-057,0.2957,medium
BMAN-00866,863.9,175.9,0.4875,0.828,0.196,EQ-GR-029,0.3336,medium
BMAN-00867,817.7,162.1,0.7587,4.899,0.234,EQ-GR-091,0.3437,medium
BMAN-00868,836.1,177.1,0.7594,6.494,0.503,EQ-GR-110,0.3368,medium
BMAN-00869,828.2,177.4,0.6084,3.266,0.253,EQ-GR-010,0.3006,medium
BMAN-00870,811.1,210.4,0.6216,1.273,0.468,EQ-GR-089,0.4487,medium
BMAN-00871,833.7,185.9,0.7953,1.657,0.234,EQ-GR-022,0.1715,low
BMAN-00872,832.5,178.0,0.7528,0.808,0.17,EQ-GR-005,0.1634,low
BMAN-00873,835.3,155.3,0.8036,1.378,0.149,EQ-GR-032,0.1487,low
BMAN-00874,835.5,176.9,0.7097,2.477,0.344,EQ-GR-102,0.2139,low
BMAN-00875,809.8,180.9,0.3,3.058,0.379,EQ-GR-098,0.5453,high
BMAN-00876,891.2,176.9,0.4034,7.022,0.198,EQ-GR-033,0.5449,high
BMAN-00877,818.3,188.2,0.7561,3.332,0.512,EQ-GR-082,0.3873,medium
BMAN-00878,809.3,157.3,0.4997,3.228,0.267,EQ-GR-080,0.3714,medium
BMAN-00879,807.5,133.0,0.8464,3.231,0.26,EQ-GR-055,0.3945,medium
BMAN-00880,813.6,165.0,0.8189,4.5,0.14,EQ-GR-057,0.3271,medium
BMAN-00881,851.0,190.0,0.5262,4.508,0.287,EQ-GR-096,0.3435,medium
BMAN-00882,844.2,177.3,0.9176,0.452,0.193,EQ-GR-018,0.0866,low
BMAN-00883,825.5,150.7,0.345,2.68,0.05,EQ-GR-004,0.3833,medium
BMAN-00884,854.3,216.2,0.8366,1.61,0.614,EQ-GR-088,0.399,medium
BMAN-00885,854.4,184.8,0.9036,5.668,0.315,EQ-GR-106,0.3432,medium
BMAN-00886,812.1,182.7,0.8902,3.194,0.054,EQ-GR-100,0.2184,low
BMAN-00887,826.9,161.5,0.8818,2.115,0.52,EQ-GR-031,0.2444,low
BMAN-00888,838.8,159.5,0.7479,6.092,0.05,EQ-GR-108,0.2829,medium
BMAN-00889,822.3,173.3,0.8718,5.829,0.399,EQ-GR-108,0.347,medium
BMAN-00890,865.6,154.4,0.9241,3.598,0.155,EQ-GR-047,0.3492,medium
BMAN-00891,810.0,182.1,0.3989,2.098,0.106,EQ-GR-037,0.3659,medium
BMAN-00892,825.2,192.1,0.6287,1.026,0.625,EQ-GR-024,0.3459,medium
BMAN-00893,789.2,167.1,0.798,0.985,0.202,EQ-GR-034,0.3158,medium
BMAN-00894,816.6,168.2,0.3892,1.553,0.566,EQ-GR-035,0.374,medium
BMAN-00895,817.3,187.8,0.6353,0.952,0.199,EQ-GR-117,0.2618,medium
BMAN-00896,831.9,166.3,0.9137,1.971,0.108,EQ-GR-085,0.1297,low
BMAN-00897,848.4,142.6,0.7768,4.213,0.321,EQ-GR-024,0.4135,medium
BMAN-00898,823.3,177.3,0.8392,2.247,0.253,EQ-GR-054,0.1626,low
BMAN-00899,851.0,224.3,0.9513,2.84,0.367,EQ-GR-113,0.4027,medium
BMAN-00900,841.1,172.9,0.6209,1.478,0.38,EQ-GR-104,0.2452,low
BMAN-00901,826.8,167.7,0.7708,3.287,0.799,EQ-GR-049,0.3493,medium
BMAN-00902,819.3,140.3,0.8784,0.484,0.236,EQ-GR-028,0.231,low
BMAN-00903,833.2,183.4,0.8913,2.952,0.466,EQ-GR-109,0.1963,low
BMAN-00904,859.4,160.2,0.6211,0.632,0.223,EQ-GR-026,0.3308,medium
BMAN-00905,851.0,159.6,0.6563,2.054,0.529,EQ-GR-064,0.3824,medium
BMAN-00906,812.2,187.3,0.5669,4.356,0.548,EQ-GR-034,0.4919,medium
BMAN-00907,838.4,165.5,0.7538,1.889,0.437,EQ-GR-028,0.2038,low
BMAN-00908,807.7,190.5,0.8571,1.26,0.201,EQ-GR-119,0.2902,medium
BMAN-00909,857.3,148.2,0.6616,1.865,0.616,EQ-GR-111,0.4366,medium
BMAN-00910,809.2,191.1,0.911,1.144,0.3,EQ-GR-008,0.2958,medium
BMAN-00911,800.7,192.1,0.51,2.408,0.248,EQ-GR-015,0.4096,medium
BMAN-00912,846.3,194.8,0.8683,1.396,0.303,EQ-GR-081,0.2288,low
BMAN-00913,858.5,158.2,0.8976,5.429,0.07,EQ-GR-049,0.3113,medium
BMAN-00914,826.5,187.2,0.897,4.092,0.954,EQ-GR-116,0.3972,medium
BMAN-00915,819.4,183.0,0.5619,1.232,0.526,EQ-GR-021,0.36,medium
BMAN-00916,846.1,179.7,0.7811,0.626,0.1,EQ-GR-008,0.2095,low
