design_id,bearing_model,rated_load,rated_speed,clearance,expected_life_hours,lubrication_method,design_risk_score,design_risk_level
BDES-00750,NU205,30.6,6144,0.0186,36529,grease,0.1347,low
BDES-00751,6306,30.42,5236,0.0385,27325,oil_bath,0.1029,low
BDES-00752,NU205,28.24,7488,0.0304,21284,grease,0.1073,low
BDES-00753,NJ306,41.28,4022,0.0092,19943,grease,0.2155,low
BDES-00754,NJ306,22.15,4735,0.0228,17408,grease,0.1691,low
BDES-00755,NU205,21.31,4317,0.0345,19529,oil_bath,0.197,low
BDES-00756,NJ306,25.41,5923,0.0315,23699,oil_bath,0.0014,low
BDES-00757,6306,31.15,4386,0.0274,23344,grease,0.0407,low
BDES-00758,7206AC,17.04,7646,0.0316,30175,grease,0.2523,medium
BDES-00759,NJ306,33.15,7299,0.0555,21094,oil_bath,0.3602,medium
BDES-00760,6205,16.55,6161,0.0228,19778,grease,0.2498,low
BDES-00761,7206AC,38.04,2500,0.0314,22455,oil_mist,0.0149,low
BDES-00762,NU205,33.04,4619,0.0315,20428,grease,0.0596,low
BDES-00763,NU205,30.61,5722,0.0171,24602,oil_mist,0.1603,low
BDES-00764,6205,33.86,4420,0.0289,24335,grease,0.0246,low
BDES-00765,6205,25.2,5813,0.0352,30604,grease,0.0984,low
BDES-00766,7206AC,26.49,8190,0.0226,20878,grease,0.1794,low
BDES-00767,NJ306,27.13,3705,0.0517,31415,grease,0.2162,low
BDES-00768,6306,26.24,7647,0.0256,28501,oil_bath,0.1123,low
BDES-00769,NU205,15.66,5359,0.0446,21433,grease,0.2567,medium
BDES-00770,7206AC,27.35,6777,0.0153,25420,grease,0.1553,low
BDES-00771,NU205,32.73,4514,0.0299,17797,grease,0.1145,low
BDES-00772,6306,29.53,7433,0.0178,24979,oil_bath,0.1848,low
BDES-00773,NU205,33.35,5355,0.0099,22579,oil_bath,0.2147,low
BDES-00774,NJ306,25.6,5496,0.028,15906,oil_mist,0.1085,low
BDES-00775,6205,25.08,4505,0.038,31766,grease,0.0548,low
BDES-00776,7206AC,28.48,5208,0.006,24104,oil_bath,0.2481,low
BDES-00777,7206AC,29.35,7803,0.0185,23185,oil_mist,0.1659,low
BDES-00778,NU205,29.68,10506,0.0329,14534,grease,0.2741,medium
BDES-00779,6205,48.0,5596,0.0234,21002,grease,0.0756,low
BDES-00780,NU205,23.11,6730,0.056,23398,oil_bath,0.2794,medium
BDES-00781,6306,18.25,5793,0.0271,30945,grease,0.106,low
BDES-00782,6205,23.79,6500,0.008,22348,grease,0.197,low
BDES-00783,NJ306,18.04,6052,0.006,14528,grease,0.4843,medium
BDES-00784,6205,28.62,6959,0.0264,22587,grease,0.0665,low
BDES-00785,NJ306,37.0,6154,0.0358,28406,oil_bath,0.0401,low
BDES-00786,NU205,27.27,6873,0.039,27836,oil_mist,0.0814,low
BDES-00787,NJ306,35.52,7241,0.0312,17128,grease,0.0747,low
BDES-00788,6205,28.09,5742,0.0263,26268,oil_bath,0.0632,low
BDES-00789,6306,35.65,4893,0.0421,39315,oil_bath,0.1017,low
BDES-00790,6205,27.71,6961,0.0273,25555,grease,0.0333,low
BDES-00791,NU205,40.09,8489,0.0497,17216,oil_mist,0.3389,medium
BDES-00792,NJ306,33.69,4268,0.0544,19997,grease,0.2667,medium
BDES-00793,7206AC,34.39,4247,0.0398,31805,grease,0.0988,low
BDES-00794,6306,27.42,8043,0.0486,15622,grease,0.3137,medium
BDES-00795,7206AC,25.12,5047,0.0438,25982,grease,0.1893,low
BDES-00796,6306,35.87,6516,0.0313,29588,oil_bath,0.0,low
BDES-00797,NJ306,14.95,6636,0.0088,20119,grease,0.3831,medium
BDES-00798,NU205,36.75,7658,0.0212,24252,oil_bath,0.1636,low
BDES-00799,6306,39.4,6422,0.0371,29233,oil_mist,0.0392,low
BDES-00800,6205,19.17,6262,0.0353,21890,oil_mist,0.1979,low
