iqs_failure_content_id,iqs_failure_id,start_piece_no_text,end_piece_no_text,failure_desc,failure_place_brief,find_type_code,find_date_text,finder_type_code,find_user_code,find_user_name,duty_worksec_code,duty_worksec_name,duty_dept_code,duty_dept_name,actual_method,doc_no
112,112,005,005,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/05 21:04:00,QMS_SERVICE,PERS-0112,Cylinder Barrel Assembly 112,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0112
113,113,006,006,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/09 21:11:00,QMS_MAKE,PERS-0113,Front End Cap 113,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0113
114,114,007,007,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/10 21:18:00,QMS_BUY,PERS-0114,Rear End Cap 114,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0114
115,115,008,008,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/11 21:25:00,QMS_ASSEMBLY,PERS-0115,Seal Ring Assembly 115,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0115
116,116,009,009,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/12 21:32:00,QMS_SERVICE,PERS-0116,Trunnion Bushing 116,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0116
117,117,001,001,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/13 21:39:00,QMS_MAKE,PERS-0117,Spherical Bearing 117,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0117
118,118,002,002,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/14 21:46:00,QMS_BUY,PERS-0118,Throttle Connector 118,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0118
119,119,003,003,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/15 21:53:00,QMS_ASSEMBLY,PERS-0119,Displacement Sensor Bracket 119,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0119
120,120,004,004,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/16 22:00:00,QMS_SERVICE,PERS-0120,Locking Nut 120,WS-HYD-01,Repair Processing Section,DEPT-QA-01,Field Support Department,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0120
121,121,005,005,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/17 22:07:00,QMS_MAKE,PERS-0121,Piston Rod Assembly 121,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0121
122,122,006,006,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/18 22:14:00,QMS_BUY,PERS-0122,Cylinder Barrel Assembly 122,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0122
123,123,007,007,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/19 22:21:00,QMS_ASSEMBLY,PERS-0123,Front End Cap 123,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0123
124,124,008,008,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/20 22:28:00,QMS_SERVICE,PERS-0124,Rear End Cap 124,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0124
125,125,009,009,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/21 22:35:00,QMS_MAKE,PERS-0125,Seal Ring Assembly 125,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0125
126,126,001,001,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/22 22:42:00,QMS_BUY,PERS-0126,Trunnion Bushing 126,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0126
127,127,002,002,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/23 22:49:00,QMS_ASSEMBLY,PERS-0127,Spherical Bearing 127,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0127
128,128,003,003,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/24 22:56:00,QMS_SERVICE,PERS-0128,Throttle Connector 128,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0128
129,129,004,004,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/25 23:03:00,QMS_MAKE,PERS-0129,Displacement Sensor Bracket 129,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0129
130,130,005,005,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/26 23:10:00,QMS_BUY,PERS-0130,Locking Nut 130,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0130
131,131,006,006,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/27 23:17:00,QMS_ASSEMBLY,PERS-0131,Piston Rod Assembly 131,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0131
132,132,007,007,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/28 23:24:00,QMS_SERVICE,PERS-0132,Cylinder Barrel Assembly 132,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0132
133,133,008,008,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/29 23:31:00,QMS_MAKE,PERS-0133,Front End Cap 133,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0133
134,134,009,009,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/30 23:38:00,QMS_BUY,PERS-0134,Rear End Cap 134,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0134
135,135,001,001,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/31 23:45:00,QMS_ASSEMBLY,PERS-0135,Seal Ring Assembly 135,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0135
136,136,002,002,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/01 23:52:00,QMS_SERVICE,PERS-0136,Trunnion Bushing 136,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0136
137,137,003,003,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/06/02 23:59:00,QMS_MAKE,PERS-0137,Spherical Bearing 137,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0137
138,138,004,004,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/06/04 00:06:00,QMS_BUY,PERS-0138,Throttle Connector 138,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0138
139,139,005,005,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/05 00:13:00,QMS_ASSEMBLY,PERS-0139,Displacement Sensor Bracket 139,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0139
140,140,006,006,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/06 00:20:00,QMS_SERVICE,PERS-0140,Locking Nut 140,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0140
141,141,007,007,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/10 00:27:00,QMS_MAKE,PERS-0141,Piston Rod Assembly 141,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0141
142,142,008,008,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/11 00:34:00,QMS_BUY,PERS-0142,Cylinder Barrel Assembly 142,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0142
143,143,009,009,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/12 00:41:00,QMS_ASSEMBLY,PERS-0143,Front End Cap 143,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0143
144,144,001,001,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/13 00:48:00,QMS_SERVICE,PERS-0144,Rear End Cap 144,WS-HYD-01,Repair Processing Section,DEPT-QA-01,Field Support Department,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0144
145,145,002,002,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/14 00:55:00,QMS_MAKE,PERS-0145,Seal Ring Assembly 145,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0145
146,146,003,003,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/15 01:02:00,QMS_BUY,PERS-0146,Trunnion Bushing 146,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0146
147,147,004,004,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/16 01:09:00,QMS_ASSEMBLY,PERS-0147,Spherical Bearing 147,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0147
148,148,005,005,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/17 01:16:00,QMS_SERVICE,PERS-0148,Throttle Connector 148,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0148
149,149,006,006,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/18 01:23:00,QMS_MAKE,PERS-0149,Displacement Sensor Bracket 149,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0149
150,150,007,007,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/19 01:30:00,QMS_BUY,PERS-0150,Locking Nut 150,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0150
151,151,008,008,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/20 01:37:00,QMS_ASSEMBLY,PERS-0151,Piston Rod Assembly 151,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0151
152,152,009,009,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/21 01:44:00,QMS_SERVICE,PERS-0152,Cylinder Barrel Assembly 152,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0152
153,153,001,001,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/22 01:51:00,QMS_MAKE,PERS-0153,Front End Cap 153,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0153
154,154,002,002,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/23 01:58:00,QMS_BUY,PERS-0154,Rear End Cap 154,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0154
155,155,003,003,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/24 02:05:00,QMS_ASSEMBLY,PERS-0155,Seal Ring Assembly 155,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0155
156,156,004,004,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/25 02:12:00,QMS_SERVICE,PERS-0156,Trunnion Bushing 156,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0156
157,157,005,005,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/26 02:19:00,QMS_MAKE,PERS-0157,Spherical Bearing 157,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0157
158,158,006,006,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/27 02:26:00,QMS_BUY,PERS-0158,Throttle Connector 158,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0158
159,159,007,007,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/28 02:33:00,QMS_ASSEMBLY,PERS-0159,Displacement Sensor Bracket 159,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0159
160,160,008,008,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/29 02:40:00,QMS_SERVICE,PERS-0160,Locking Nut 160,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0160
161,161,009,009,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/30 02:47:00,QMS_MAKE,PERS-0161,Piston Rod Assembly 161,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0161
162,162,001,001,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/31 02:54:00,QMS_BUY,PERS-0162,Cylinder Barrel Assembly 162,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0162
163,163,002,002,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/01 03:01:00,QMS_ASSEMBLY,PERS-0163,Front End Cap 163,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0163
164,164,003,003,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/02 03:08:00,QMS_SERVICE,PERS-0164,Rear End Cap 164,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0164
165,165,004,004,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/06/03 03:15:00,QMS_MAKE,PERS-0165,Seal Ring Assembly 165,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0165
166,166,005,005,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/06/04 03:22:00,QMS_BUY,PERS-0166,Trunnion Bushing 166,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0166
167,167,006,006,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/05 03:29:00,QMS_ASSEMBLY,PERS-0167,Spherical Bearing 167,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0167
